id,treatment,fulfillment1q,fulfillment1s1,fulfillment1s2,fulfillment2q,fulfillment2s1,fulfillment2s2,fulfillment3q,fulfillment3s1,fulfillment3s2,fulfillment4q,fulfillment4s1,fulfillment4s2,fulfillment5q,fulfillment5s1,fulfillment5s2,fulfillment6q,fulfillment6s1,fulfillment6s2,justice1q,justice1s1,justice1s2,justice2q,justice2s1,justice2s2,justice3q,justice3s1,justice3s2,justice4q,justice4s1,justice4s2,justice5q,justice5s1,justice5s2,justice6q,justice6s1,justice6s2,control1fulfillment,control1justice,control2,age,gender,income,education,state,space,persons,politics
50,1,3,-6,-2,3,-9,-4,3,-12,-4,2,-2,-5,1,-5,-5,3,-7,-3,,,,,,,,,,,,,,,,,,,3,,3,22,3,0,4,9,37,1,2
51,2,,,,,,,,,,,,,,,,,,,3,5,0,3,-7,-1,3,-8,-3,1,-2,-2,1,-4,-4,1,-7,-7,,3,3,20,1,1000,4,9,83,3,3
52,1,3,-10,-1,3,-6,-2,3,-7.5,-3,1,-2,-2,1,-4,-4,1,-6,-6,,,,,,,,,,,,,,,,,,,3,,4,22,3,1000,4,9,12,2,3
53,1,3,0,3,3,-1,2,2,-2,2,2,3,2,1,1,1,2,-1,-3,,,,,,,,,,,,,,,,,,,3,,4,19,1,,4,9,,,
54,2,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,3,-1,-1,2,2,-1,2,2,-1,,3,4,20,1,0,4,9,50,3,4
55,2,,,,,,,,,,,,,,,,,,,1,-5,-3,1,-5,-5,1,-7,-7,2,-1,-5,2,-3,-7,2,-5,-8,,3,4,21,1,1100,4,9,48,2,3
56,2,,,,,,,,,,,,,,,,,,,3,-2,-1,3,-1,-2,3,-1,-3,1,-1,-1,2,-2,-3,2,-3,-5,,3,3,20,1,500,4,9,70,3,4
57,1,3,-2,0,3,-5,-1,3,-5,-2,2,0,-2,1,-2,-2,1,-5,-5,,,,,,,,,,,,,,,,,,,3,,4,40,,850,5,9,113,5,2
58,1,3,-.5,-.1,3,-.66000003,-.2,3,-.75,-.30000001,1,-.2,-.2,1,-.40000001,-.40000001,1,-.60000002,-.60000002,,,,,,,,,,,,,,,,,,,3,,4,23,3,1300,4,9,23,1,3
59,2,,,,,,,,,,,,,,,,,,,3,-7,-2,3,-7,-2,3,-8,-3,1,-3,-3,1,-4,-4,1,-5,-5,,3,3,37,3,830,5,9,25,2,5
60,1,3,-50,-10,3,-67,-20,3,-75,-30,1,-20,-20,1,-40,-40,1,-60,-60,,,,,,,,,,,,,,,,,,,3,,4,25,2,900,4,9,150,4,1
61,2,,,,,,,,,,,,,,,,,,,3,-10,-1,3,-10,-3,3,-20,-5,1,-5,-5,1,-9,-9,1,-15,-15,,3,4,25,3,,7,9,80,1,4
62,1,3,5,8,3,6,8,3,5,8,2,9,6,2,8,6,2,7,4,,,,,,,,,,,,,,,,,,,3,,4,24,1,0,4,9,22,1,2
63,1,3,-5,-1,3,-6,-3,3,-5,-2,2,-1,-2,1,-4,-4,1,-6,-6,,,,,,,,,,,,,,,,,,,3,,4,20,2,560,4,9,23,5,1
64,2,,,,,,,,,,,,,,,,,,,3,-5,-1,3,-10,-2,3,-10,-1,1,-1,-1,3,-5,-3,3,-10,-3,,3,4,24,1,256.39999,7,5,36,2,1
65,2,,,,,,,,,,,,,,,,,,,3,-5,-1,3,-6,-3,3,-6,-3,2,-1,-4,1,-3,-3,1,-5,-5,,3,4,33,1,500,4,9,70,2,4
66,1,3,-3,-1,3,-3,-2,3,-5,-3,2,-.5,-2,3,-3.5,-3,1,-5,-5,,,,,,,,,,,,,,,,,,,3,,4,22,3,1500,4,9,100,2,2
67,1,2,0,0,3,1,30,3,10,-10,2,15,1,1,0,0,3,0,10,,,,,,,,,,,,,,,,,,,3,,4,20,1,500,4,9,30,3,2
68,2,,,,,,,,,,,,,,,,,,,3,-2,-.5,3,-3,-1,3,-3,-2,2,-.5,-1,1,-2,-2,1,-2.5,-2.5,,3,4,25,1,300,4,9,45,2,2
69,1,3,-5,-3,3,-8,-3,3,-10,-5,2,-3,-2,3,-5,-3,3,-10,-5,,,,,,,,,,,,,,,,,,,3,,4,32,1,1200,4,9,130,4,3
70,1,3,-2,-20,3,-60,-10,2,-4,-2,1,-10,-10,1,-40,-40,1,-2.5,-2.5,,,,,,,,,,,,,,,,,,,3,,4,20,1,550,4,9,150,3,3
71,1,3,-50,-10,3,-67,-20,3,-75,-30,1,-20,-20,1,-40,-40,1,-60,-60,,,,,,,,,,,,,,,,,,,3,,4,20,3,0,4,9,400,3,3
72,1,3,-4,3,3,-3,2,3,-5,2,3,-1,2,3,-3,4,3,-3,-1,,,,,,,,,,,,,,,,,,,3,,4,23,3,1000,4,9,65,2,5
73,1,3,-1,-.5,3,-3,-1.5,3,-4,-2,1,-1,-1,1,-1.5,-1.5,1,-2,-2,,,,,,,,,,,,,,,,,,,3,,4,24,3,750,4,9,120,3,3
74,1,3,-6,0,3,-7,-2,3,-9,-3,3,-2,-1,3,-5,-2,1,-8,-8,,,,,,,,,,,,,,,,,,,3,,4,19,1,0,4,9,57,2,4
75,2,,,,,,,,,,,,,,,,,,,3,-8,0,3,-3,-1,1,-3,-1,1,-1,-1,3,-9,0,3,-9,0,,3,4,23,1,400,4,9,67,2,2
