id,lastpage,startdate,datestamp,randnumber,case1a1,case1a2,case1a3,case1a4,case1a5,case1a6,case1a7,case1a8,case1a9,case1b1,case1b2,case1b3,case1b4,case1b5,case1b6,case1b7,case1b8,case1b9,case1c1,case1c2,case1c3,case1c4,case1c5,case1c6,case1c7,case1c8,case1c9,case1d1,case1d2,case1d3,case1d4,case1d5,case1d6,case1d7,case1d8,case1d9,kontrolle1,kontrolle2b,wuerde,mitbewohner,wohnraum,alter,geschlecht,einkommen,bildung,bundesland,politik
43,10,2026-03-26 06:44:37,2026-03-26 06:47:26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,40.0,50.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,
44,7,2026-03-26 07:37:07,2026-03-26 07:38:02,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,2026-03-26 07:59:14,2026-03-26 08:00:09,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,13,2026-03-26 08:00:48,2026-03-26 08:03:48,2,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,4.0,200.0,29.0,3.0,3000.0,3.0,2.0,4.0
47,13,2026-03-26 08:00:56,2026-03-26 08:10:05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,70.0,80.0,50.0,50.0,50.0,50.0,50.0,7.0,1.0,30.0,2.0,42.0,27.0,3.0,2000.0,4.0,3.0,3.0
48,10,2026-03-26 08:08:45,2026-03-26 08:12:30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-8.0,-5.0,-2.0,0.0,2.0,4.0,8.0,10.0,7.0,0.0,,,,,,,,,
49,13,2026-03-26 08:15:57,2026-03-26 08:18:13,1,20.0,60.0,60.0,70.0,90.0,90.0,100.0,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,58.0,50.0,1.0,2250.0,5.0,3.0,4.0
50,5,2026-03-26 08:44:51,2026-03-26 08:45:05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,8,2026-03-26 08:49:52,2026-03-26 09:03:12,1,50.0,20.0,30.0,20.0,20.0,20.0,60.0,50.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,13,2026-03-26 08:57:59,2026-03-26 09:07:06,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,9.0,9.0,11.0,14.0,,,,,,,,,,7.0,1.0,40.0,2.0,89.0,65.0,1.0,2000.0,7.0,3.0,4.0
53,4,2026-03-26 09:14:44,2026-03-26 09:15:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,7,2026-03-26 09:23:33,2026-03-26 09:23:41,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10,2026-03-26 09:27:21,2026-03-26 09:34:43,1,-5.0,-3.0,-2.0,-1.0,0.0,2.0,4.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
56,10,2026-03-26 09:28:14,2026-03-26 09:57:17,3,,,,,,,,,,,,,,,,,,,-3.0,-2.0,-1.0,-1.0,0.0,2.0,3.0,3.0,3.0,,,,,,,,,,7.0,0.0,,,,,,,,,
57,2,2026-03-26 09:40:05,2026-03-26 09:40:05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,2026-03-26 09:41:55,2026-03-26 09:42:12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,2026-03-26 09:56:11,2026-03-26 09:56:11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3,2026-03-26 10:00:16,2026-03-26 10:01:15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,10,2026-03-26 10:02:43,2026-03-26 10:04:52,2,,,,,,,,,,80.0,80.0,80.0,80.0,80.0,100.0,120.0,140.0,160.0,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
62,4,2026-03-26 10:02:44,2026-03-26 10:03:09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,10,2026-03-26 10:03:05,2026-03-26 10:14:54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,0.0,,,,,,,,,
64,13,2026-03-26 10:03:13,2026-03-26 10:05:58,3,,,,,,,,,,,,,,,,,,,80.0,20.0,40.0,60.0,60.0,40.0,80.0,40.0,60.0,,,,,,,,,,7.0,1.0,45.0,3.0,94.0,37.0,3.0,1750.0,3.0,1.0,7.0
65,13,2026-03-26 10:03:20,2026-03-26 10:10:00,3,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,6.0,8.0,10.0,10.0,13.0,15.0,,,,,,,,,,7.0,1.0,50.0,2.0,52.0,59.0,1.0,1760.0,5.0,9.0,4.0
66,13,2026-03-26 10:03:31,2026-03-26 10:31:55,1,0.0,25.0,50.0,75.0,100.0,120.0,150.0,160.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,3.0,135.0,57.0,3.0,3000.0,5.0,9.0,4.0
67,13,2026-03-26 10:03:32,2026-03-26 10:07:28,3,,,,,,,,,,,,,,,,,,,0.0,10.0,0.0,2.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,7.0,1.0,45.0,1.0,64.0,36.0,1.0,2700.0,5.0,10.0,3.0
68,13,2026-03-26 10:03:33,2026-03-26 10:06:34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-80.0,-50.0,-25.0,-10.0,-20.0,-50.0,-100.0,-50.0,7.0,1.0,40.0,2.0,140.0,35.0,3.0,4000.0,8.0,2.0,5.0
69,13,2026-03-26 10:04:05,2026-03-26 10:07:42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-10.0,-5.0,-5.0,0.0,10.0,30.0,40.0,100.0,7.0,1.0,80.0,2.0,150.0,50.0,3.0,2500.0,8.0,16.0,6.0
70,3,2026-03-26 10:04:54,2026-03-26 10:05:36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,13,2026-03-26 10:05:12,2026-03-26 10:08:34,1,-8.0,-6.0,-4.0,-2.0,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,4.0,130.0,41.0,1.0,3000.0,7.0,14.0,2.0
72,13,2026-03-26 10:06:24,2026-03-26 10:12:38,3,,,,,,,,,,,,,,,,,,,-100.0,-75.0,-50.0,-25.0,0.0,25.0,50.0,75.0,100.0,,,,,,,,,,7.0,1.0,50.0,2.0,240.0,53.0,1.0,950.0,3.0,2.0,5.0
73,6,2026-03-26 10:07:24,2026-03-26 10:07:35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3,2026-03-26 10:09:24,2026-03-26 10:09:37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,13,2026-03-26 10:09:54,2026-03-26 10:17:42,1,80.0,60.0,40.0,0.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,45.0,25.0,25.0,49.0,3.0,640.0,5.0,10.0,4.0
76,13,2026-03-26 10:09:56,2026-03-26 10:16:13,3,,,,,,,,,,,,,,,,,,,-100.0,-80.0,-60.0,-20.0,0.0,20.0,60.0,80.0,100.0,,,,,,,,,,7.0,1.0,20.0,2.0,65.0,28.0,1.0,900.0,7.0,9.0,3.0
77,13,2026-03-26 10:10:30,2026-03-26 10:14:24,1,-100.0,-100.0,-60.0,-20.0,0.0,20.0,30.0,50.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,1.0,96.0,61.0,3.0,4500.0,8.0,10.0,3.0
78,13,2026-03-26 10:12:39,2026-03-26 10:18:00,3,,,,,,,,,,,,,,,,,,,90.0,60.0,60.0,80.0,0.0,80.0,0.0,90.0,90.0,,,,,,,,,,7.0,1.0,50.0,1.0,40.0,46.0,1.0,1000.0,5.0,10.0,5.0
79,4,2026-03-26 10:12:49,2026-03-26 10:13:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,13,2026-03-26 10:13:05,2026-03-26 10:17:00,2,,,,,,,,,,-10.0,-8.0,-5.0,-3.0,10.0,8.0,5.0,0.0,-4.0,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,80.0,51.0,3.0,2800.0,5.0,2.0,5.0
81,10,2026-03-26 10:13:22,2026-03-26 10:14:41,3,,,,,,,,,,,,,,,,,,,0.0,25.0,50.0,75.0,100.0,125.0,150.0,175.0,200.0,,,,,,,,,,7.0,0.0,,,,,,,,,
82,2,2026-03-26 10:13:28,2026-03-26 10:13:28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,3,2026-03-26 10:13:46,2026-03-26 10:13:52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,10,2026-03-26 10:14:02,2026-03-26 10:15:48,1,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
85,2,2026-03-26 10:14:25,2026-03-26 10:14:25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2,2026-03-26 10:14:50,2026-03-26 10:14:50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
